OrderID,OrderDate,CustomerID,CustomerName,Product,Category,Quantity,UnitPrice,TotalAmount,Region,SalesRep
1001,2024-01-05,C001,Acme Corporation,Laptop Pro 15,Electronics,2,1299.99,2599.98,North,Sarah Johnson
1002,2024-01-07,C002,TechStart Inc,Wireless Mouse,Electronics,10,29.99,299.90,South,Michael Chen
1003,2024-01-08,C003,Global Solutions,Office Chair,Furniture,5,249.99,1249.95,East,Sarah Johnson
1004,2024-01-10,C004,Innovate LLC,Standing Desk,Furniture,3,599.99,1799.97,West,David Martinez
1005,2024-01-12,C001,Acme Corporation,USB-C Hub,Electronics,15,39.99,599.85,North,Sarah Johnson
1006,2024-01-15,C005,Prime Industries,Monitor 27inch,Electronics,4,349.99,1399.96,South,Michael Chen
1007,2024-01-18,C006,Vertex Systems,Mechanical Keyboard,Electronics,8,89.99,719.92,East,Emily Rodriguez
1008,2024-01-20,C007,Apex Partners,Desk Lamp,Furniture,12,45.99,551.88,West,David Martinez
1009,2024-01-22,C008,Summit Enterprises,Laptop Stand,Electronics,6,54.99,329.94,North,Sarah Johnson
1010,2024-01-25,C009,Horizon Group,Ergonomic Mouse Pad,Electronics,20,19.99,399.80,South,Michael Chen
1011,2024-01-28,C010,Zenith Corp,File Cabinet,Furniture,2,189.99,379.98,East,Emily Rodriguez
1012,2024-02-01,C002,TechStart Inc,Webcam HD,Electronics,7,79.99,559.93,South,Michael Chen
1013,2024-02-03,C003,Global Solutions,Bookshelf,Furniture,4,129.99,519.96,East,Sarah Johnson
1014,2024-02-05,C004,Innovate LLC,Wireless Keyboard,Electronics,9,49.99,449.91,West,David Martinez
1015,2024-02-08,C011,Atlas Consulting,Desktop Computer,Electronics,1,1899.99,1899.99,North,Sarah Johnson
1016,2024-02-10,C012,Phoenix Technologies,Conference Table,Furniture,1,899.99,899.99,South,Michael Chen
1017,2024-02-12,C005,Prime Industries,Desk Organizer,Furniture,15,24.99,374.85,South,Michael Chen
1018,2024-02-15,C013,Quantum Solutions,Headphones Pro,Electronics,5,149.99,749.95,East,Emily Rodriguez
1019,2024-02-18,C006,Vertex Systems,Power Strip,Electronics,10,32.99,329.90,East,Emily Rodriguez
1020,2024-02-20,C014,Stellar Systems,Office Desk,Furniture,3,449.99,1349.97,West,David Martinez
1021,2024-02-22,C007,Apex Partners,Document Scanner,Electronics,2,199.99,399.98,West,David Martinez
1022,2024-02-25,C015,Nexus Group,Laptop Bag,Electronics,8,59.99,479.92,North,Sarah Johnson
1023,2024-02-28,C008,Summit Enterprises,Mesh Office Chair,Furniture,4,329.99,1319.96,North,Sarah Johnson
1024,2024-03-02,C016,Cascade Ventures,Tablet 10inch,Electronics,3,449.99,1349.97,South,Michael Chen
1025,2024-03-05,C009,Horizon Group,Cable Management Box,Electronics,12,22.99,275.88,South,Michael Chen
1026,2024-03-08,C017,Meridian Holdings,Executive Desk,Furniture,2,799.99,1599.98,East,Emily Rodriguez
1027,2024-03-10,C010,Zenith Corp,Printer All-in-One,Electronics,1,299.99,299.99,East,Emily Rodriguez
1028,2024-03-12,C018,Pinnacle Corp,Whiteboard Large,Furniture,3,179.99,539.97,West,David Martinez
1029,2024-03-15,C011,Atlas Consulting,External SSD 1TB,Electronics,6,119.99,719.94,North,Sarah Johnson
1030,2024-03-18,C019,Vanguard Inc,Meeting Chair Set,Furniture,2,599.99,1199.98,South,Michael Chen
1031,2024-03-20,C012,Phoenix Technologies,Docking Station,Electronics,4,149.99,599.96,South,Michael Chen
1032,2024-03-22,C020,Summit Peak LLC,Footrest,Furniture,8,39.99,319.92,East,Emily Rodriguez
1033,2024-03-25,C013,Quantum Solutions,Bluetooth Speaker,Electronics,10,69.99,699.90,East,Emily Rodriguez
1034,2024-03-28,C021,Cornerstone Group,Storage Cabinet,Furniture,2,249.99,499.98,West,David Martinez
1035,2024-03-30,C014,Stellar Systems,Monitor Arm,Electronics,5,89.99,449.95,West,David Martinez
1036,2024-04-02,C015,Nexus Group,Smart Pen,Electronics,15,49.99,749.85,North,Sarah Johnson
1037,2024-04-05,C022,Foundation Partners,Desk Mat Large,Furniture,6,34.99,209.94,North,Sarah Johnson
1038,2024-04-08,C016,Cascade Ventures,Graphics Tablet,Electronics,2,249.99,499.98,South,Michael Chen
1039,2024-04-10,C023,Keystone Enterprises,Coat Rack,Furniture,4,79.99,319.96,South,Michael Chen
1040,2024-04-12,C017,Meridian Holdings,Laptop Cooling Pad,Electronics,8,29.99,239.92,East,Emily Rodriguez
1041,2024-04-15,C024,Milestone Group,Conference Phone,Electronics,1,399.99,399.99,East,Emily Rodriguez
1042,2024-04-18,C018,Pinnacle Corp,Drawer Dividers,Furniture,10,14.99,149.90,West,David Martinez
1043,2024-04-20,C025,Legacy Solutions,Wireless Charger,Electronics,12,39.99,479.88,West,David Martinez
1044,2024-04-22,C019,Vanguard Inc,Bulletin Board,Furniture,5,44.99,224.95,North,Sarah Johnson
1045,2024-04-25,C020,Summit Peak LLC,USB Flash Drive 128GB,Electronics,20,24.99,499.80,South,Michael Chen
1046,2024-04-28,C021,Cornerstone Group,Mobile Pedestal,Furniture,3,159.99,479.97,East,Emily Rodriguez
1047,2024-04-30,C022,Foundation Partners,HD Monitor 24inch,Electronics,6,249.99,1499.94,East,Emily Rodriguez
1048,2024-05-03,C023,Keystone Enterprises,Office Partition,Furniture,2,299.99,599.98,West,David Martinez
1049,2024-05-05,C024,Milestone Group,Portable Charger,Electronics,15,34.99,524.85,North,Sarah Johnson
1050,2024-05-08,C025,Legacy Solutions,L-Shaped Desk,Furniture,1,749.99,749.99,South,Michael Chen
